CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000001,North East,E08000022,North Tyneside,12m,PCV_12m,1934.0
2023-24,E12000001,North East,E08000022,North Tyneside,12m,Rota_12m,1876.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,24m_Eligible_Pop,2079.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,DTaP_IPV_Hib_HepB_24m,2017.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,Hib_MenC_24m,1994.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,MMR_24m,1996.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,MenB_booster_24m,1977.0
2023-24,E12000001,North East,E08000022,North Tyneside,24m,PCV_24m,1982.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,5y_Eligible_Pop,2412.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,DTaP_IPV_5y,2173.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,DTaP_IPV_Hib_HepB_5y,2296.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,Hib_MenC_5y,2272.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,MMR1_5y,2318.0
2023-24,E12000001,North East,E08000022,North Tyneside,5yr,MMR2_5y,2211.0
2023-24,E12000001,North East,E06000057,Northumberland,12m,12m_Eligible_Pop,2700.0
2023-24,E12000001,North East,E06000057,Northumberland,12m,DTaP_IPV_Hib_HepB_12m,2614.0
2023-24,E12000001,North East,E06000057,Northumberland,12m,MenB_12m,2613.0
2023-24,E12000001,North East,E06000057,Northumberland,12m,PCV_12m,2634.0
2023-24,E12000001,North East,E06000057,Northumberland,12m,Rota_12m,2557.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,24m_Eligible_Pop,2799.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,DTaP_IPV_Hib_HepB_24m,2727.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,Hib_MenC_24m,2682.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,MMR_24m,2686.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,MenB_booster_24m,2666.0
2023-24,E12000001,North East,E06000057,Northumberland,24m,PCV_24m,2680.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,5y_Eligible_Pop,3124.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,DTaP_IPV_5y,2866.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,DTaP_IPV_Hib_HepB_5y,2999.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,Hib_MenC_5y,2978.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,MMR1_5y,3025.0
2023-24,E12000001,North East,E06000057,Northumberland,5yr,MMR2_5y,2890.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,12m,12m_Eligible_Pop,1283.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,12m,DTaP_IPV_Hib_HepB_12m,1215.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,12m,MenB_12m,1220.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,12m,PCV_12m,1237.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,12m,Rota_12m,1176.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,24m_Eligible_Pop,1337.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,DTaP_IPV_Hib_HepB_24m,1267.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,Hib_MenC_24m,1240.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,MMR_24m,1239.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,MenB_booster_24m,1238.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,24m,PCV_24m,1243.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,5y_Eligible_Pop,1412.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,DTaP_IPV_5y,1218.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,DTaP_IPV_Hib_HepB_5y,1346.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Hib_MenC_5y,1323.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,MMR1_5y,1351.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,5yr,MMR2_5y,1258.0
2023-24,E12000001,North East,E08000023,South Tyneside,12m,12m_Eligible_Pop,1476.0
2023-24,E12000001,North East,E08000023,South Tyneside,12m,DTaP_IPV_Hib_HepB_12m,1431.0
2023-24,E12000001,North East,E08000023,South Tyneside,12m,MenB_12m,1421.0
2023-24,E12000001,North East,E08000023,South Tyneside,12m,PCV_12m,1442.0
2023-24,E12000001,North East,E08000023,South Tyneside,12m,Rota_12m,1398.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,24m_Eligible_Pop,1496.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,DTaP_IPV_Hib_HepB_24m,1452.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,Hib_MenC_24m,1439.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,MMR_24m,1440.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,MenB_booster_24m,1431.0
2023-24,E12000001,North East,E08000023,South Tyneside,24m,PCV_24m,1432.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,5y_Eligible_Pop,1616.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,DTaP_IPV_5y,1514.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,DTaP_IPV_Hib_HepB_5y,1560.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,Hib_MenC_5y,1555.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,MMR1_5y,1565.0
2023-24,E12000001,North East,E08000023,South Tyneside,5yr,MMR2_5y,1514.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,12m,12m_Eligible_Pop,1892.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,12m,DTaP_IPV_Hib_HepB_12m,1807.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,12m,MenB_12m,1807.0
