Year,OrgCode,OrgName,OrgType,VacCode,Value
2014-15,E06000040,Windsor and Maidenhead,LA,Hib_MenC_24m,91.78010471204189
2014-15,E06000041,Wokingham,LA,Hib_MenC_24m,92.15132693393564
2014-15,E06000042,Milton Keynes,LA,Hib_MenC_24m,92.10589077033151
2014-15,E06000043,Brighton and Hove,LA,Hib_MenC_24m,91.01198402130493
2014-15,E06000044,Portsmouth,LA,Hib_MenC_24m,92.49368459040058
2014-15,E06000045,Southampton,LA,Hib_MenC_24m,94.21778690930437
2014-15,E06000046,Isle of Wight,LA,Hib_MenC_24m,92.73408239700375
2014-15,E06000047,County Durham,LA,Hib_MenC_24m,97.4872605868916
2014-15,E06000049,Cheshire East,LA,Hib_MenC_24m,95.71530587955249
2014-15,E06000050,Cheshire West and Chester,LA,Hib_MenC_24m,95.09185632026323
2014-15,E06000051,Shropshire,LA,Hib_MenC_24m,95.42241669471558
2014-15,E06000052,Cornwall and Isles of Scilly,LA,Hib_MenC_24m,90.83109017496636
2014-15,E06000054,Wiltshire,LA,Hib_MenC_24m,94.12922856631467
2014-15,E06000055,Bedford,LA,Hib_MenC_24m,94.84092863284609
2014-15,E06000056,Central Bedfordshire,LA,Hib_MenC_24m,95.63218390804597
2014-15,E06000057,Northumberland,LA,Hib_MenC_24m,96.89592209373097
2014-15,E08000001,Bolton,LA,Hib_MenC_24m,95.00882278800101
2014-15,E08000002,Bury,LA,Hib_MenC_24m,93.15280464216634
2014-15,E08000003,Manchester,LA,Hib_MenC_24m,86.61121545478937
2014-15,E08000004,Oldham,LA,Hib_MenC_24m,95.2353616532721
2014-15,E08000005,Rochdale,LA,Hib_MenC_24m,94.2894650475878
2014-15,E08000006,Salford,LA,Hib_MenC_24m,97.67582251735587
2014-15,E08000007,Stockport,LA,Hib_MenC_24m,93.20498301245753
2014-15,E08000008,Tameside,LA,Hib_MenC_24m,93.18181818181817
2014-15,E08000009,Trafford,LA,Hib_MenC_24m,95.89138978206503
2014-15,E08000010,Wigan,LA,Hib_MenC_24m,94.78114478114477
2014-15,E08000011,Knowsley,LA,Hib_MenC_24m,97.79627815866797
2014-15,E08000012,Liverpool,LA,Hib_MenC_24m,93.95844246551424
2014-15,E08000013,St. Helens,LA,Hib_MenC_24m,92.7247451343837
2014-15,E08000014,Sefton,LA,Hib_MenC_24m,93.90642002176278
2014-15,E08000015,Wirral,LA,Hib_MenC_24m,96.3395225464191
2014-15,E08000016,Barnsley,LA,Hib_MenC_24m,96.90431519699813
2014-15,E08000017,Doncaster,LA,Hib_MenC_24m,93.4252386002121
2014-15,E08000018,Rotherham,LA,Hib_MenC_24m,94.03889065986611
2014-15,E08000019,Sheffield,LA,Hib_MenC_24m,92.62571470458877
2014-15,E08000021,Newcastle upon Tyne,LA,Hib_MenC_24m,94.33906342620035
2014-15,E08000022,North Tyneside,LA,Hib_MenC_24m,97.50104123281966
2014-15,E08000023,South Tyneside,LA,Hib_MenC_24m,97.99291617473436
2014-15,E08000024,Sunderland,LA,Hib_MenC_24m,96.73290670259347
2014-15,E08000025,Birmingham,LA,Hib_MenC_24m,87.8462662246446
2014-15,E08000026,Coventry,LA,Hib_MenC_24m,94.98589103538094
2014-15,E08000027,Dudley,LA,Hib_MenC_24m,96.24474789915966
2014-15,E08000028,Sandwell,LA,Hib_MenC_24m,89.98193133908853
2014-15,E08000029,Solihull,LA,Hib_MenC_24m,95.30251785043217
2014-15,E08000030,Walsall,LA,Hib_MenC_24m,97.32142857142857
2014-15,E08000031,Wolverhampton,LA,Hib_MenC_24m,90.07383100902379
2014-15,E08000032,Bradford,LA,Hib_MenC_24m,94.1766576951309
2014-15,E08000033,Calderdale,LA,Hib_MenC_24m,95.65374864179645
2014-15,E08000034,Kirklees,LA,Hib_MenC_24m,96.6612230085284
2014-15,E08000035,Leeds,LA,Hib_MenC_24m,94.76088646967341
2014-15,E08000036,Wakefield,LA,Hib_MenC_24m,94.66575091575092
2014-15,E08000037,Gateshead,LA,Hib_MenC_24m,92.43098842386465
2014-15,E09000002,Barking and Dagenham,LA,Hib_MenC_24m,88.80432113920943
2014-15,E09000003,Barnet,LA,Hib_MenC_24m,78.41955466264858
2014-15,E09000004,Bexley,LA,Hib_MenC_24m,90.29970995810505
2014-15,E09000005,Brent,LA,Hib_MenC_24m,88.74361593462717
2014-15,E09000006,Bromley,LA,Hib_MenC_24m,90.69124423963135
2014-15,E09000007,Camden,LA,Hib_MenC_24m,85.6257264626114
2014-15,E09000008,Croydon,LA,Hib_MenC_24m,84.16170808540427
2014-15,E09000009,Ealing,LA,Hib_MenC_24m,84.68954248366013
2014-15,E09000010,Enfield,LA,Hib_MenC_24m,91.20380376053599
2014-15,E09000011,Greenwich,LA,Hib_MenC_24m,88.50983675177899
2014-15,E09000012,Hackney and City of London,LA,Hib_MenC_24m,90.80406654343808
2014-15,E09000013,Hammersmith and Fulham,LA,Hib_MenC_24m,80.4975922953451
2014-15,E09000014,Haringey,LA,Hib_MenC_24m,87.77777777777777
2014-15,E09000015,Harrow,LA,Hib_MenC_24m,89.7081895199247
2014-15,E09000016,Havering,LA,Hib_MenC_24m,91.17464263517712
2014-15,E09000017,Hillingdon,LA,Hib_MenC_24m,89.3886156008433
2014-15,E09000018,Hounslow,LA,Hib_MenC_24m,83.82066276803118
2014-15,E09000019,Islington,LA,Hib_MenC_24m,94.33681073025335
2014-15,E09000020,Kensington and Chelsea,LA,Hib_MenC_24m,74.66042154566745
2014-15,E09000021,Kingston upon Thames,LA,Hib_MenC_24m,89.54005934718101
2014-15,E09000022,Lambeth,LA,Hib_MenC_24m,89.04569892473118
2014-15,E09000023,Lewisham,LA,Hib_MenC_24m,84.82602429483221
2014-15,E09000024,Merton,LA,Hib_MenC_24m,87.9161118508655
2014-15,E09000025,Newham,LA,Hib_MenC_24m,88.84156729131175
2014-15,E09000026,Redbridge,LA,Hib_MenC_24m,87.28915662650603
2014-15,E09000027,Richmond upon Thames,LA,Hib_MenC_24m,84.89256198347107
2014-15,E09000028,Southwark,LA,Hib_MenC_24m,89.46993106726883
2014-15,E09000029,Sutton,LA,Hib_MenC_24m,87.91130185979972
2014-15,E09000030,Tower Hamlets,LA,Hib_MenC_24m,85.8454647256439
2014-15,E09000031,Waltham Forest,LA,Hib_MenC_24m,85.37755527743012
2014-15,E09000032,Wandsworth,LA,Hib_MenC_24m,86.25509609784507
2014-15,E09000033,Westminster,LA,Hib_MenC_24m,72.07240487624676
2014-15,E10000002,Buckinghamshire,LA,Hib_MenC_24m,95.09566370430169
2014-15,E10000003,Cambridgeshire,LA,Hib_MenC_24m,91.43222506393862
2014-15,E10000006,Cumbria,LA,Hib_MenC_24m,95.89367189049793
2014-15,E10000007,Derbyshire,LA,Hib_MenC_24m,96.5023446735726
2014-15,E10000008,Devon,LA,Hib_MenC_24m,93.56763065750226
2014-15,E10000009,Dorset,LA,Hib_MenC_24m,95.87546567323044
2014-15,E10000011,East Sussex,LA,Hib_MenC_24m,91.66516975031436
2014-15,E10000012,Essex,LA,Hib_MenC_24m,95.43150132503744
2014-15,E10000013,Gloucestershire,LA,Hib_MenC_24m,93.90834044975804
2014-15,E10000014,Hampshire,LA,Hib_MenC_24m,94.26811639746087
2014-15,E10000015,Hertfordshire,LA,Hib_MenC_24m,96.18305744888023
2014-15,E10000016,Kent,LA,Hib_MenC_24m,90.46892039258452
2014-15,E10000017,Lancashire,LA,Hib_MenC_24m,89.0282131661442
2014-15,E10000018,Leicestershire and Rutland,LA,Hib_MenC_24m,96.97331740342493
2014-15,E10000019,Lincolnshire,LA,Hib_MenC_24m,90.40839265642563
2014-15,E10000020,Norfolk,LA,Hib_MenC_24m,95.07205478247862
2014-15,E10000021,Northamptonshire,LA,Hib_MenC_24m,96.38114209827357
2014-15,E10000023,North Yorkshire,LA,Hib_MenC_24m,93.29835843628364
2014-15,E10000024,Nottinghamshire,LA,Hib_MenC_24m,93.77870107150666
2014-15,E10000025,Oxfordshire,LA,Hib_MenC_24m,94.94600020191406
2014-15,E10000027,Somerset,LA,Hib_MenC_24m,93.6072280941016
2014-15,E10000028,Staffordshire,LA,Hib_MenC_24m,94.54707941763323
2014-15,E10000029,Suffolk,LA,Hib_MenC_24m,94.72140253750538
2014-15,E10000030,Surrey,LA,Hib_MenC_24m,81.07519699243882
2014-15,E10000031,Warwickshire,LA,Hib_MenC_24m,95.56109725685785
2014-15,E10000032,West Sussex,LA,Hib_MenC_24m,94.24105737962866
2014-15,E10000034,Worcestershire,LA,Hib_MenC_24m,95.51262549437178
2014-15,E12000001,North East,Region,Hib_MenC_24m,95.5731067897
2014-15,E12000002,North West,Region,Hib_MenC_24m,93.2427908319
2014-15,E12000003,Yorkshire & the Humber,Region,Hib_MenC_24m,94.5340701728
2014-15,E12000004,East Midlands,Region,Hib_MenC_24m,94.3135878767
2014-15,E12000005,West Midlands,Region,Hib_MenC_24m,92.9165195186
2014-15,E12000006,East of England,Region,Hib_MenC_24m,94.6299079714
2014-15,E12000007,London,Region,Hib_MenC_24m,86.7512690355
2014-15,E12000008,South East,Region,Hib_MenC_24m,91.0032280553
2014-15,E12000009,South West,Region,Hib_MenC_24m,93.6407758504
2014-15,K02000001,United Kingdom,UK,Hib_MenC_24m,92.6061664893565
